sample_number,year,date_egg,region,island,stage,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
1,2007,2007/11/11,Anvers,Torgersen,"Adult, 1 Egg Stage",39.1,18.7,181.1,3750.1
2,2007,2007/11/11,Anvers,Torgersen,"Adult, 1 Egg Stage",39.5,17.4,186,3800.2
3,2007,2007/11/16,Anvers,Torgersen,"Adult, 1 Egg Stage",40.3,18,195.1,3250
4,2007,2007/11/16,Anvers,Torgersen,"Adult, 1 Egg Stage",NA,NA,NA,NA
5,2007,2007/11/16,Anvers,Torgersen,"Adult, 1 Egg Stage",36.7,19.3,192.6,3449.9
6,2007,2007/11/16,Anvers,Torgersen,"Adult, 1 Egg Stage",39.3,20.6,190.2,3650
7,2007,2007/11/15,Anvers,Torgersen,"Adult, 1 Egg Stage",38.9,17.8,181.3,3625.2
8,2007,2007/11/15,Anvers,Torgersen,"Adult, 1 Egg Stage",39.2,19.6,194.9,4675
9,2007,2007/11/09,Anvers,Torgersen,"Adult, 1 Egg Stage",34.1,18.1,192.9,3475.4
10,2007,2007/11/09,Anvers,Torgersen,"Adult, 1 Egg Stage",42,20.2,190,4249.9
11,2007,2007/11/09,Anvers,Torgersen,"Adult, 1 Egg Stage",37.8,17.1,185.9,3300.1
12,2007,2007/11/09,Anvers,Torgersen,"Adult, 1 Egg Stage",37.8,17.3,179.8,3699.8
13,2007,2007/11/15,Anvers,Torgersen,"Adult, 1 Egg Stage",41.1,17.6,181.9,3200.3
14,2007,2007/11/15,Anvers,Torgersen,"Adult, 1 Egg Stage",38.6,21.2,191,3799.8
15,2007,2007/11/16,Anvers,Torgersen,"Adult, 1 Egg Stage",34.6,21.1,198.1,4400
16,2007,2007/11/16,Anvers,Torgersen,"Adult, 1 Egg Stage",36.6,17.8,185.2,3699.9
17,2007,2007/11/12,Anvers,Torgersen,"Adult, 1 Egg Stage",38.7,19,195.1,3450.4
18,2007,2007/11/12,Anvers,Torgersen,"Adult, 1 Egg Stage",42.5,20.7,197,4500.1
19,2007,2007/11/16,Anvers,Torgersen,"Adult, 1 Egg Stage",34.4,18.4,184.2,3325
20,2007,2007/11/16,Anvers,Torgersen,"Adult, 1 Egg Stage",46,21.5,194.2,4199.8
21,2007,2007/11/12,Anvers,Biscoe,"Adult, 1 Egg Stage",37.8,18.3,174.1,3400.1
22,2007,2007/11/12,Anvers,Biscoe,"Adult, 1 Egg Stage",37.7,18.7,180.1,3600.3
23,2007,2007/11/12,Anvers,Biscoe,"Adult, 1 Egg Stage",35.9,19.2,189.1,3800
24,2007,2007/11/12,Anvers,Biscoe,"Adult, 1 Egg Stage",38.2,18.1,185.1,3950
25,2007,2007/11/10,Anvers,Biscoe,"Adult, 1 Egg Stage",38.8,17.2,179.7,3799.8
26,2007,2007/11/10,Anvers,Biscoe,"Adult, 1 Egg Stage",35.3,18.9,186.9,3800
27,2007,2007/11/12,Anvers,Biscoe,"Adult, 1 Egg Stage",40.6,18.6,182.9,3550.2
28,2007,2007/11/12,Anvers,Biscoe,"Adult, 1 Egg Stage",40.5,17.9,186.9,3200.1
29,2007,2007/11/10,Anvers,Biscoe,"Adult, 1 Egg Stage",37.9,18.6,171.7,3150
30,2007,2007/11/10,Anvers,Biscoe,"Adult, 1 Egg Stage",40.5,18.9,180,3950
31,2007,2007/11/09,Anvers,Dream,"Adult, 1 Egg Stage",39.5,16.7,177.8,3250
32,2007,2007/11/09,Anvers,Dream,"Adult, 1 Egg Stage",37.2,18.1,178,3900.1
33,2007,2007/11/09,Anvers,Dream,"Adult, 1 Egg Stage",39.5,17.8,188.1,3300.2
34,2007,2007/11/09,Anvers,Dream,"Adult, 1 Egg Stage",40.9,18.9,183.9,3900.2
35,2007,2007/11/16,Anvers,Dream,"Adult, 1 Egg Stage",36.4,17,195,3325.2
36,2007,2007/11/16,Anvers,Dream,"Adult, 1 Egg Stage",39.2,21.1,195.5,4150.2
37,2007,2007/11/16,Anvers,Dream,"Adult, 1 Egg Stage",38.8,20,189.7,3950.3
38,2007,2007/11/16,Anvers,Dream,"Adult, 1 Egg Stage",42.2,18.5,179.9,3550.3
39,2007,2007/11/13,Anvers,Dream,"Adult, 1 Egg Stage",37.6,19.3,181.1,3299.8
40,2007,2007/11/13,Anvers,Dream,"Adult, 1 Egg Stage",39.8,19.1,183.9,4650.1
41,2007,2007/11/16,Anvers,Dream,"Adult, 1 Egg Stage",36.5,18,181.7,3150.1
42,2007,2007/11/16,Anvers,Dream,"Adult, 1 Egg Stage",40.8,18.4,194.9,3899.4
43,2007,2007/11/19,Anvers,Dream,"Adult, 1 Egg Stage",36,18.5,186.1,3100.3
44,2007,2007/11/19,Anvers,Dream,"Adult, 1 Egg Stage",44.1,19.7,196.1,4400.2
45,2007,2007/11/16,Anvers,Dream,"Adult, 1 Egg Stage",37,16.9,184.9,2999.9
46,2007,2007/11/16,Anvers,Dream,"Adult, 1 Egg Stage",39.6,18.8,190.1,4600
47,2007,2007/11/13,Anvers,Dream,"Adult, 1 Egg Stage",41.1,19,182.4,3425
