id,order_date,order_time,price,num_pizza,size_1,pizza_1,size_2,pizza_2,size_3,pizza_3,size_4,pizza_4,size_5,pizza_5
2015-000001,1-Jan-15,11:38:36,13.25,1,medium,hawaiian,NA,NA,NA,NA,NA,NA,NA,NA
2015-000002,1-Jan-15,11:57:40,92,5,medium,classic_dlx,medium,mexicana,large,thai_ckn,large,five_cheese,large,ital_supr
2015-000003,1-Jan-15,12:12:28,37.25,2,large,prsc_argla,medium,ital_supr,NA,NA,NA,NA,NA,NA
2015-000004,1-Jan-15,12:16:31,16.5,1,medium,ital_supr,NA,NA,NA,NA,NA,NA,NA,NA
2015-000005,1-Jan-15,12:21:30,16.5,1,medium,ital_supr,NA,NA,NA,NA,NA,NA,NA,NA
2015-000006,1-Jan-15,12:29:36,24.75,2,small,bbq_ckn,small,the_greek,NA,NA,NA,NA,NA,NA
2015-000007,1-Jan-15,12:50:37,12.5,1,small,spinach_supr,NA,NA,NA,NA,NA,NA,NA,NA
2015-000008,1-Jan-15,12:51:37,12.5,1,small,spinach_supr,NA,NA,NA,NA,NA,NA,NA,NA
2015-000009,1-Jan-15,12:52:01,143.25,9,large,ital_supr,small,mexicana,large,spin_pesto,large,spicy_ital,large,ital_cpcllo
2015-000010,1-Jan-15,13:00:15,41,2,large,mexicana,large,southw_ckn,NA,NA,NA,NA,NA,NA
2015-000011,1-Jan-15,13:02:59,73.5,4,large,pepperoni,large,cali_ckn,medium,cali_ckn,large,bbq_ckn,NA,NA
2015-000012,1-Jan-15,13:04:41,70.75,4,small,cali_ckn,medium,ital_supr,large,cali_ckn,large,ckn_pesto,NA,NA
2015-000013,1-Jan-15,13:11:55,20.25,1,large,mexicana,NA,NA,NA,NA,NA,NA,NA,NA
2015-000014,1-Jan-15,13:14:19,12,1,small,the_greek,NA,NA,NA,NA,NA,NA,NA,NA
2015-000015,1-Jan-15,13:33:00,63.25,4,small,big_meat,large,five_cheese,large,soppressata,small,the_greek,NA,NA
2015-000016,1-Jan-15,13:34:07,50.7,3,large,thai_ckn,large,four_cheese,small,napolitana,NA,NA,NA,NA
2015-000017,1-Jan-15,13:53:00,184.5,11,medium,mediterraneo,large,bbq_ckn,medium,ital_supr,large,mexicana,medium,four_cheese
2015-000018,1-Jan-15,13:57:08,20.5,1,large,napolitana,NA,NA,NA,NA,NA,NA,NA,NA
2015-000019,1-Jan-15,13:59:09,40.75,2,large,sicilian,large,ital_cpcllo,NA,NA,NA,NA,NA,NA
2015-000020,1-Jan-15,14:03:08,30.5,2,large,five_cheese,small,big_meat,NA,NA,NA,NA,NA,NA
2015-000021,1-Jan-15,14:14:29,20.5,1,large,ital_cpcllo,NA,NA,NA,NA,NA,NA,NA,NA
2015-000022,1-Jan-15,14:16:26,55.25,3,medium,ital_cpcllo,large,southw_ckn,large,five_cheese,NA,NA,NA,NA
2015-000023,1-Jan-15,14:19:03,12.75,1,small,southw_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000024,1-Jan-15,14:23:01,57.75,4,medium,ital_cpcllo,medium,pepperoni,small,prsc_argla,medium,bbq_ckn,NA,NA
2015-000025,1-Jan-15,14:44:44,37,2,large,thai_ckn,medium,sicilian,NA,NA,NA,NA,NA,NA
2015-000026,1-Jan-15,14:54:26,32.25,2,small,classic_dlx,large,veggie_veg,NA,NA,NA,NA,NA,NA
2015-000027,1-Jan-15,15:11:17,57,3,large,bbq_ckn,large,spinach_fet,medium,classic_dlx,NA,NA,NA,NA
2015-000028,1-Jan-15,15:35:46,12.75,1,small,ckn_alfredo,NA,NA,NA,NA,NA,NA,NA,NA
2015-000029,1-Jan-15,15:41:01,12,1,small,green_garden,NA,NA,NA,NA,NA,NA,NA,NA
2015-000030,1-Jan-15,15:41:25,20.75,1,large,thai_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000031,1-Jan-15,15:50:18,25.75,2,medium,mexicana,small,pepperoni,NA,NA,NA,NA,NA,NA
2015-000032,1-Jan-15,15:53:18,69.25,4,large,ital_cpcllo,large,green_garden,small,big_meat,medium,ital_supr,NA,NA
2015-000033,1-Jan-15,15:54:08,32.75,2,large,bbq_ckn,small,green_garden,NA,NA,NA,NA,NA,NA
2015-000034,1-Jan-15,16:21:21,12,1,small,the_greek,NA,NA,NA,NA,NA,NA,NA,NA
2015-000035,1-Jan-15,16:32:04,66.75,4,medium,pepperoni,large,pep_msh_pep,large,thai_ckn,medium,green_garden,NA,NA
2015-000036,1-Jan-15,16:54:09,32.75,2,medium,bbq_ckn,medium,classic_dlx,NA,NA,NA,NA,NA,NA
2015-000037,1-Jan-15,16:56:09,41,2,large,mexicana,large,ital_supr,NA,NA,NA,NA,NA,NA
2015-000038,1-Jan-15,17:03:00,31,2,large,ital_cpcllo,small,hawaiian,NA,NA,NA,NA,NA,NA
2015-000039,1-Jan-15,17:07:23,20.75,1,large,ital_supr,NA,NA,NA,NA,NA,NA,NA,NA
2015-000040,1-Jan-15,17:14:36,30.7,2,small,southw_ckn,large,four_cheese,NA,NA,NA,NA,NA,NA
2015-000041,1-Jan-15,17:15:20,26.75,2,small,green_garden,medium,four_cheese,NA,NA,NA,NA,NA,NA
2015-000042,1-Jan-15,17:28:09,67.25,4,small,big_meat,large,five_cheese,medium,peppr_salami,large,mexicana,NA,NA
2015-000043,1-Jan-15,17:38:34,54,3,medium,ital_supr,large,peppr_salami,medium,ckn_alfredo,NA,NA,NA,NA
2015-000044,1-Jan-15,17:54:20,12.5,1,small,spin_pesto,NA,NA,NA,NA,NA,NA,NA,NA
2015-000045,1-Jan-15,17:55:48,45.2,3,large,four_cheese,small,hawaiian,medium,thai_ckn,NA,NA,NA,NA
2015-000046,1-Jan-15,18:25:51,58,3,medium,thai_ckn,large,ckn_pesto,large,classic_dlx,NA,NA,NA,NA
2015-000047,1-Jan-15,18:26:34,32.75,2,small,veggie_veg,large,southw_ckn,NA,NA,NA,NA,NA,NA
2015-000048,1-Jan-15,18:26:42,70.25,4,large,prsc_argla,large,spicy_ital,small,green_garden,medium,ckn_pesto,NA,NA
2015-000049,1-Jan-15,18:33:00,20.25,1,large,sicilian,NA,NA,NA,NA,NA,NA,NA,NA
2015-000050,1-Jan-15,18:41:01,25.5,1,x-large,the_greek,NA,NA,NA,NA,NA,NA,NA,NA
2015-000051,1-Jan-15,18:48:28,38.25,2,large,bbq_ckn,large,pep_msh_pep,NA,NA,NA,NA,NA,NA
2015-000052,1-Jan-15,18:53:02,57.5,3,large,spicy_ital,large,mexicana,large,hawaiian,NA,NA,NA,NA
2015-000053,1-Jan-15,18:54:17,27.5,2,small,pep_msh_pep,medium,spinach_supr,NA,NA,NA,NA,NA,NA
2015-000054,1-Jan-15,19:01:45,37.25,2,medium,prsc_argla,large,thai_ckn,NA,NA,NA,NA,NA,NA
2015-000055,1-Jan-15,19:03:19,33.25,2,small,peppr_salami,large,spicy_ital,NA,NA,NA,NA,NA,NA
2015-000056,1-Jan-15,19:07:00,53,3,medium,southw_ckn,medium,classic_dlx,large,mediterraneo,NA,NA,NA,NA
2015-000057,1-Jan-15,19:10:51,16,1,medium,classic_dlx,NA,NA,NA,NA,NA,NA,NA,NA
2015-000058,1-Jan-15,19:30:40,31,2,large,five_cheese,medium,pepperoni,NA,NA,NA,NA,NA,NA
2015-000059,1-Jan-15,19:40:08,39,3,small,pep_msh_pep,large,pepperoni,small,ital_veggie,NA,NA,NA,NA
2015-000060,1-Jan-15,20:05:16,35.5,2,large,ckn_pesto,medium,four_cheese,NA,NA,NA,NA,NA,NA
2015-000061,1-Jan-15,20:08:43,37.5,2,large,ital_supr,medium,bbq_ckn,NA,NA,NA,NA,NA,NA
2015-000062,1-Jan-15,20:50:16,33.25,2,medium,spinach_supr,medium,bbq_ckn,NA,NA,NA,NA,NA,NA
2015-000063,1-Jan-15,20:51:42,14.5,1,medium,pep_msh_pep,NA,NA,NA,NA,NA,NA,NA,NA
2015-000064,1-Jan-15,20:52:08,12,1,small,big_meat,NA,NA,NA,NA,NA,NA,NA,NA
