sample_number,region,island,stage,date_egg,delta_15_n_o_oo,delta_13_c_o_oo
1,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/11,NA,NA
2,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/11,8.94956,-24.69454
3,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/16,8.36821,-25.33302
4,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/16,NA,NA
5,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/16,8.76651,-25.32426
6,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/16,8.66496,-25.29805
7,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/15,9.18718,-25.21799
8,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/15,9.4606,-24.89958
9,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/09,NA,NA
10,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/09,9.13362,-25.09368
11,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/09,8.63243,-25.21315
12,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/09,NA,NA
13,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/15,NA,NA
14,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/15,NA,NA
15,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/16,8.55583,-25.22588
16,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/16,NA,NA
17,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/12,9.18528,-25.06691
18,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/12,8.67538,-25.13993
19,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/16,8.47827,-25.23319
20,Anvers,Torgersen,"Adult, 1 Egg Stage",2007/11/16,9.11616,-24.77227
21,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/12,8.73762,-25.09383
22,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/12,8.66271,-25.0639
23,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/12,9.22286,-25.03474
24,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/12,8.43423,-25.22664
25,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/10,9.63954,-25.29856
26,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/10,9.21292,-24.3613
27,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/12,8.93997,-25.36288
28,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/12,8.08138,-25.49448
29,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/10,8.38404,-25.19837
30,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/10,8.90027,-25.11609
31,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/09,9.69756,-25.11223
32,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/09,9.72764,-25.0102
33,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/09,9.66523,-25.0602
34,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/09,8.79665,-25.14591
35,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/16,9.17847,-25.23061
36,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/16,9.15308,-25.03469
37,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/16,9.18985,-25.12255
38,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/16,8.04787,-25.49523
39,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/13,9.41131,-25.04169
40,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/13,NA,NA
41,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/16,9.68933,-24.4228
42,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/16,NA,NA
43,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/19,9.50772,-25.03492
44,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/19,9.2372,-24.52698
45,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/16,9.36392,-25.01745
46,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/16,9.49106,-24.10255
47,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/13,NA,NA
48,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/13,NA,NA
49,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/13,9.51784,-25.07683
50,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/13,8.87988,-25.18543
51,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/06,8.46616,-26.12989
52,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/06,8.51362,-26.55602
53,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.19539,-26.17213
54,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.48095,-26.3146
55,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.41837,-26.54718
56,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.35396,-26.27853
57,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/15,8.57199,-26.07188
58,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/15,8.56674,-25.98843
59,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/15,9.07878,-25.88156
60,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/15,9.108,-25.89677
61,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.96472,-26.40943
62,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.74802,-26.37809
63,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.58063,-26.21569
64,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.62264,-26.60023
65,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.62623,-26.1165
66,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.85562,-26.09294
67,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/06,8.56192,-25.95541
68,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/06,8.71078,-25.81012
69,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/11,8.47781,-26.07821
70,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/11,8.86853,-26.06209
71,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/14,7.88863,-26.63085
72,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/14,9.29808,-25.23453
73,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/11,8.33524,-26.55351
74,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/11,8.18658,-26.45978
75,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/08,8.70642,-26.15003
76,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/08,8.2993,-26.38986
77,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/06,8.47257,-26.02002
78,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/06,8.3554,-26.44787
79,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/09,7.82381,-26.51382
80,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/09,9.05736,-25.81513
81,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/02,7.69778,-26.5387
82,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/02,8.63259,-26.23027
83,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/07,7.88494,-26.24837
84,Anvers,Torgersen,"Adult, 1 Egg Stage",2008/11/07,8.90002,-26.46254
85,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/17,8.32718,-26.38396
86,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/17,9.14863,-26.09635
87,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/08,8.57087,-26.22227
88,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/08,8.59147,-26.08165
89,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/08,9.07826,-26.12417
90,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/08,8.36936,-26.11199
91,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,8.46531,-26.05621
92,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,8.77018,-25.83352
93,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/05,8.01485,-26.695430000000002
94,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/05,8.49915,-26.42406
95,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/17,8.90723,-26.30037
96,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/17,8.48204,-26.57941
97,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/08,8.10277,-26.50086
98,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/08,8.3945900000000009,-26.01152
99,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/10,9.04218,-26.15775
100,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/10,8.97025,-26.03679
101,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/09,8.84451,-26.28055
102,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/09,9.01079,-26.38085
103,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/15,9.2151,-26.2253
104,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/15,9.51929,-25.69199
105,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/15,9.02642,-25.86482
106,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/15,8.85699,-25.80208
107,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/15,8.77322,-26.48973
108,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/15,9.59245,-25.70711
109,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/20,9.79532,-25.27385
110,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/20,9.31735,-25.45171
111,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/12,8.43951,-26.57563
112,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/12,8.65466,-26.32909
113,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/15,9.02657,-26.06203
114,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/15,8.80186,-26.41218
115,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/17,8.80967,-26.78958
116,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/17,8.91434,-26.42018
117,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/18,9.18021,-25.77264
118,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/18,9.49645,-26.36678
119,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/22,8.96436,-23.90309
120,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/22,9.32277,-26.09989
121,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/17,9.04296,-26.19444
122,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/17,9.11066,-26.42563
123,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/16,9.30722,-25.61039
124,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/16,9.59462,-25.42621
125,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/18,8.81668,-25.95399
126,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/18,9.22537,-25.60826
127,Anvers,Torgersen,"Adult, 1 Egg Stage",2009/11/21,8.88098,-25.89741
